,username,text,likes,date
31,@Irishchutzpah,MY TIME  Person of the year. Kfir Bibas 10 months old. Kidnapped by Palestinian terrorists Hamas 7/10,6002,"Dec 7, 2023 · 9:05 AM UTC"
32,@IDF,Urban warfare is Hamas’ barbaric game.    Watch to see armed Hamas terrorists fortify themselves in civilian buildings in Gaza from their own body camera:,5479,"Dec 7, 2023 · 7:20 PM UTC"
33,@s_m_marandi,"Iran will continue to support Hamas, Islamic Jihad, and all the Palestinian Resistance groups both inside Palestine and abroad.  The only solution is to end ethnic supremacism and apartheid across Palestine. Zionists must be defeated or sent back home to Europe.  #GazaHolocaust",96,"Dec 8, 2023 · 3:18 AM UTC"
34,@HillelNeuer,"Council on American-Islamic Relations chief cheers October 7th Hamas massacre. “I was happy to see people breaking the siege and walk free into their land...”  President @JoeBiden, why again did you make CAIR an official part of your National Strategy to Counter Antisemitism?",754,"Dec 7, 2023 · 2:28 PM UTC"
35,@Yserbius123,"We're on the same page with that, I also want to see Palestinians get a chance at human rights. I think our disagreement is that I see Hamas as the biggest obstacle and Israel as the only way to eliminate them. You just kind of have this vague idea that things are wrong.",0,"Dec 8, 2023 · 3:55 AM UTC"
36,@DillyHussain88,"Lies.   These are civilian men being rounded up in Beit Lahia, not Hamas fighters in Khan Younis.",3641,"Dec 7, 2023 · 3:58 PM UTC"
37,@will_christou,"One of the men arrested in this video is our colleague Al-Araby Correspondent Diaa Kahlot, along with his family, who are most definitely not members of Hamas.  He and other captives were stripped naked in the street and taken to an unknown location.   Journalism is not a crime!",27521,"Dec 7, 2023 · 3:34 PM UTC"
38,@dodocosmo,Is this your mentor you diluted hamas apologist ?,0,"Dec 8, 2023 · 3:55 AM UTC"
39,@DrEliDavid,"You thought @Harvard, @MIT, and @Penn have hit rock bottom?  Yesterday @Columbia held an event celebrating Hamas' massacre 👇  The speakers praised Hamas' “October 7th counteroffensive” as a heroic action showing creativity and determination 🤯",9276,"Dec 7, 2023 · 9:42 AM UTC"
40,@muhammadshehad2,"🚨Israel's Public Broadcasting Corporation admits those are NOT Hamas militants  It's random men & teenagers detained arbitrarily without charges, trial or legal counsel to ""check *IF* some of them are Hamas terrorists""  Meaning civilians are presumed guilty until proven innocent",12573,"Dec 7, 2023 · 5:21 PM UTC"
