,username,text,likes,date
36,@Lowkey0nline,"""How many more children have to die?""   Israel lobby-funded leader of the Labour Party, Keir Starmer, is confronted over his position on Israel's genocidal war on Gaza.",39724,"Dec 7, 2023 · 4:57 PM UTC"
37,@jacksonhinklle,💔🇵🇸 ISRAEL has reportedly just MURDERED one of the bravest voices & academics from Gaza: Dr. Refaat al-Ar’eer @itranslate123  🙏 Rest in peace,27323,"Dec 7, 2023 · 7:56 PM UTC"
38,@itranslate123,"George Floyd was all over the walls in occupied Palestine 🇵🇸, from Gaza to the West Bank.  Palestinians have supported Black Lives Matter and sent virtual tips for the Ferguson protesters to deal with tear gas.  Meanwhile, Israel trains American police to kill Black people. #blm",10772,"Oct 29, 2023 · 1:27 PM UTC"
39,@StopAntisemites,"Albany, NY - Temple Israel Synagogue shooter has been identified as 28 year old Mufid Fawaz Alkhader.   Alkhader, yelled ""Free Palestine"" as he shot off a round on the premises of Temple Israel and appeared to have torn down an Israeli flag or sign, according to law enforcement.   Alkhader appears to be a foreign national.",157,"Dec 8, 2023 · 3:27 AM UTC"
40,@Ryan04619856,"Hitler stole land from an ethic group, put them in prisons, and then indiscriminately killed them to secure a future for the German people. Israel is modern day Nazi Germany. All you spew is Zionist propaganda. One day you'll grow up and open your eyes.",0,"Dec 8, 2023 · 3:32 AM UTC"
41,@jacksonhinklle,🚨🇮🇱 F*CK ISRAEL!,75178,"Dec 7, 2023 · 3:54 PM UTC"
42,@jacksonhinklle,💔🇵🇸 Footage circulated by Israeli media shows Israel’s military kidnapping Palestinians from Gaza and stripping them naked.,20213,"Dec 7, 2023 · 9:13 PM UTC"
43,@shneiurson,#IsraelHamasWar   Dear children of the Bibs family The people of Israel are waiting for your return! 💔🥰,0,"Dec 8, 2023 · 3:32 AM UTC"
44,@Partisangirl,"Israel is striping Palestinians, which is a war crime, all because Shani Louk was dancing in a bikini.",368,"Dec 8, 2023 · 2:10 AM UTC"
45,@ASNH1111,"Who is bringing up holocaust in every single statement, who is censoring anyone criticizing Israel, who just made criticizing Zionism anti semitism, it is jews who stand with Palestine says this is a genocide and as Jews we should not accept this genocide by Israel",0,"Dec 8, 2023 · 3:32 AM UTC"
46,@libsoftiktok,"Executive director of the Council on American-Islamic Relations (CAIR), an influential Muslim-American civil rights group, celebrated the Oct 7 attack on Israel where Hamas murdered, raped, burned, beheaded, and kidnapped 1,500 people including Americans.",1832,"Dec 7, 2023 · 10:04 PM UTC"
47,@TheGrayzoneNews,"A tribute to my friend, Refaat Alareer, a teacher murdered by Israel  “I am going to use that marker to throw it at the Israeli soldiers, even if that is the last thing that I do,” @itranslate123 vowed in one of his final interviews  By @MaxBlumenthal https://thegrayzone.com/2023/12/07/tribute-refaat-alareer-teacher-murdered-israel/",3310,"Dec 7, 2023 · 10:51 PM UTC"
48,@CensoredMen,🇵🇸🇮🇱 Israel murdered this innocent baker who fed his camp in Palestine.  RIP Omar Manaa 💔🕊️,22170,"Dec 7, 2023 · 11:12 PM UTC"
49,@AlanDersh,Elite universities are highly financed incubators of anti-Semitism and anti-Americanism. #law #lawyer #news #trending #trump #biden #shorts #MiddleEastConflict #IsraelPalestineConflict #Israel,546,"Dec 7, 2023 · 8:33 PM UTC"
50,@nemahsis,"someone once said @taylorswift13 is only a feminist when it benefits her career & protects her whiteness. 62 days later, taylor hasn’t spoke up for the women in Palestine & since has decided to air her movie in israel despite the ongoing genocide.",4252,"Dec 7, 2023 · 6:05 PM UTC"
51,@CensoredMen,"🇺🇸🇮🇱 Alex Jones blamed Israel for 9/11 a day after it happened.  ""We're gonna have nuclear war, because Israel likes to go around bombing everybody.""",1565,"Dec 8, 2023 · 2:42 AM UTC"
52,@Politics_2022_,Sources claim that Rubika Liyaqat is fired from Bharat 24 channel two days ago.  There was a report that her channel is going through the lowest TRP even after Rubika going to Israel.🤣  She was last seen on channel on 3rd December & her bio is changed by removing Bharat24 name.  Now she can join BJP officially. Let's wait for official confirmation.,2139,"Dec 7, 2023 · 3:54 PM UTC"
53,@TripleKyun,"""thanks for this award I love games that are actually just movies, nihilism and depression and bashing peoples heads in with golf clubs. I can't wait to base my next game off of the Israel/Hamas war. Fuck Jak and Daxter""",351,"Dec 8, 2023 · 3:25 AM UTC"
54,@_inverse_square,"And don't ever let anyone forget whose fault it is - Hamas.   If you hide behind civilians, those civilians will die.   That's why the US gov doesn't pay the ransom for Americans kidnapped in the Middle East.   Israel backing off now will legitimize the use of human shields.",0,"Dec 8, 2023 · 3:32 AM UTC"
55,@Robert_Martin72,What will you do today.   Here’s Israel’s to do list.,782,"Dec 7, 2023 · 8:27 PM UTC"
56,@TendaisheOwiti,Thank you @Israel @IsraeliPM @IsraelPresident Thank you @Pontifex for standing with God and his LGBTQI Creation / Humans which God's science confirms our existence through God's Biology.  copied with honor to @HRC @UN_HRC @giladerdan1 @antonioguterres @UN @free_equal @UNAIDS,0,"Dec 8, 2023 · 3:32 AM UTC"
57,@MalakaShwaikh,My sister just messaged me to say that Israel is carrying out summary executions of unarmed men in northern Gaza inside their homes. They force their families and children to watch the executions. They then let the women and children flee the scene. Ceasefire. Now.,21923,"Dec 7, 2023 · 8:29 AM UTC"
58,@realnikohouse,Israel is actually the most antisemitic government in the world.   It are not the Jewish state. It is the Zionist state. And we should always make sure to distinguish the difference,2440,"Dec 7, 2023 · 7:22 PM UTC"
59,@Samehahabeeb,"It’s a pathetic how the Israeli lobby groups, ventures, watchdogs and initiatives are desperate to promote Israel and its agenda. Most of their pages and posts spend millions of dollars to reach the international mainstream which overwhelmingly supports the Palestinian narrative and their side of the story. The world will never support Israeli #genocide @visegrad24",10,"Dec 7, 2023 · 11:24 PM UTC"
60,@darrenrovell,"This Sunday against the Raiders, various people within the Vikings organization will be supporting Israel on their feet.   Kicker Greg Joseph’s cleats and sneakers that will be worn by the Wilfs and team CEO Andrew Miller.   Custom designed by @stadiumck.",1415,"Dec 8, 2023 · 1:12 AM UTC"
