,username,text,likes,date
66,@shimmeringolds,"FUCK ISRAELI SETTLERS, FUCK ALL OF YOU!!! YOU ARE ALL COMPLACENT IN THIS!!! YOU ALL ARE COLONIST SETTLERS WHO HAVE NO BUSINESS IN PALESTINE!!! JUST BECAUSE OF YOUR ZIONISM DOESNT MEAN JACK SHIT TO COMMIT CRIMES AGAINST HUMANITY!!! ALL OF YOU WILL GET PUNISHMENTS AND JUDGEMENTS.",38,"Dec 7, 2023 · 9:28 PM UTC"
67,@sitcomabed,Today I choose to honor the real people of the year: the Journalists in Palestine. Their constant strength and courage in the midst of a genocide is something so admirable. They lose family and friends but never stop showing us what’s actually happening in Gaza. #freepalestine,47335,"Dec 6, 2023 · 2:29 PM UTC"
68,@blu_kryptonian,"The Gospels are recorded oral teachings of certain disciples. Peter wasn't the one who first called Ben Miriam ""Messiah"".....it was Zacariah, Mary and the rest of the priesthood who confirmed and celebrated it. Palestine [Philistia] was there when the first tribes arrived.",0,"Dec 8, 2023 · 3:38 AM UTC"
69,@REVMAXXING,🇮🇶 Iraq 2003 vs 🇵🇸 Gaza 2023  HISTORY IS REPEATING ITSELF!,55,"Dec 8, 2023 · 3:32 AM UTC"
70,@m7mdkurd,Palestine lost an absolute giant,15745,"Dec 7, 2023 · 8:16 PM UTC"
71,@DavideMastracci,"If you’re looking for a truly independent Canadian media outlet that has been putting out critical reporting and analysis on Palestine for years, and will continue to do so without any hesitation or restrictions, you can support The Maple 🙏🏼  https://action.readthemaple.com/become-member-eoy-2023",125,"Dec 7, 2023 · 5:26 PM UTC"
72,@hausofriya,This loss is immeasurable.,11616,"Dec 8, 2023 · 12:28 AM UTC"
73,@sabahbanomalik,"I would hysterically comment under his posts hoping he was okay, a lion. How there was room for more pain and heartbreak is insane, but this evil entity managed to do it. Long live the legend of Refaat, and long live Palestine - and we will never forget the way the world turned",81,"Dec 8, 2023 · 1:14 AM UTC"
74,@suricidal,keep boycotting. they’re doing this bc the boycott is working and they’re losing money but let’s pray on their bankruptcy now 🙏🏽,4482,"Dec 7, 2023 · 10:57 PM UTC"
75,@Rrrrnessa,"My heart sank at these pictures. Israel’s Forces stripped Palestinian men, tortured them and claims are being made these men were all executed.   A systematic execution of Palestinian men.  This is the very same act of genocide that occurred in Srebrenica & throughout Bosnia.",5794,"Dec 7, 2023 · 5:21 PM UTC"
76,@ThiaBallerina,"This seems to make Zionists angry, so I’ll keep saying it.   Palestine has the right to defend itself.",882,"Dec 7, 2023 · 6:06 PM UTC"
77,@_Pal4ever_,They have Rockets 🚀 We have stones.  #FreePalestine #SahabatPalestina_ID #ForeverPalestine 🇵🇸,35,"Aug 25, 2023 · 11:15 PM UTC"
78,@Timesofgaza,Did you know?,2520,"Dec 8, 2023 · 12:08 AM UTC"
79,@JoanneHorniman,"How about the Australians distressed by seeing the ongoing murder of civilians in Palestine. What is happening is horrific beyond all measure.  Have you looked at what the UN is saying? Or special rapporteur Francesca Albanese? Give her a follow, you may learn something.",370,"Dec 7, 2023 · 7:46 AM UTC"
80,@jorymicah,Zionists: “please feel sorry for us while we slaughter thousands and thousands of children.”,1307,"Dec 7, 2023 · 9:24 PM UTC"
