username,text,likes,date
@MarinaMedvin,Why does Israel have to win in Gaza? Because Israel is the promise to the Jewish people that they will never again be defeated.  #NeverAgainIsNow,141,"Dec 8, 2023 · 3:21 AM UTC"
@mhdksafa,"""61 days we screamed and no one answered""  Your silence is deafening. I strongly condemn your silence. Don’t stop talking about Gaza.",15568,"Dec 7, 2023 · 6:19 PM UTC"
@MuhammadSmiry,Our friend Refaat is no longer alive. #Gaza,67342,"Dec 7, 2023 · 8:09 PM UTC"
@DrKarimWafa,"They dehumanised Palestinian men but they don’t show you that Palestinian men are digging under the rubble with their own hands to save people, that Palestinian men are caring for injured babies across Gaza and that Palestinian men are praying and singing amidst their suffering.",4606,"Dec 7, 2023 · 2:48 PM UTC"
@JehadAbusalim,Gaza's archives are gone. These archives documented a history deeply rooted long before immigrants from Eastern Europe arrived in our country.,43383,"Dec 6, 2023 · 8:17 PM UTC"
@azaizamotaz9,Shejaiya is in the east of Gaza city Khan younis is a city inside the strip  At least before you lie just try to know about Gaza Strip places  These are civilians from the north of Gaza Strip,50157,"Dec 7, 2023 · 4:22 PM UTC"
@Wasimakramjr,ALLAH'S PLAN 🤲 #PSL9 #PSL2024 #NaseemShah #BabarAzam #BabarAzam𓃵 #PSL9Draft #AhmadShahzad #AUSvPAK #AUSvsPAK #pakvaus #PAKVSAUS #rizwan #ShanMasood #Shan not out ayesha omer #Gaza #fcklive,8,"Dec 7, 2023 · 1:24 PM UTC"
@itranslate123,The Democratic Party and Biden are responsible for the Gaza genocide perpetrated by Israel.,67904,"Dec 4, 2023 · 5:00 AM UTC"
@TheHayoooosh,"🚨FAKE NEWS : those are NOT hamas members ! 🚨  The IOF have captured  100 unarmed displaced civilians from their shelters in the schools - Northern Gaza ,  And forced them to take their clothes off , threatens them of executing  them plus the continuous abuse . #Gaza #Gaza_Genocide #CeasefireForGazaNOW #GazaHoloucast",1018,"Dec 7, 2023 · 4:32 PM UTC"
@leylahamed,"Refaat Al-Areer, Palestinian writer, posted this days ago: “If I get killed by Israeli bombs or my family is harmed, I blame Bari Weiss and her likes.” He was murdered along with his family yesterday. He was one of the best academics and strongest voices from Gaza.",81,"Dec 7, 2023 · 9:45 PM UTC"
@RamiJarrah,"The moment Aljazeera Journalist Momen Al-Sharafi breaks the news that his entire family of 21 members were just killed in an Israeli Airstrike in #Gaza.  The look he gives as he is no longer able to talk, is heartbreaking.",9586,"Dec 7, 2023 · 8:30 AM UTC"
@POTUS,"I spoke with King Abdullah II of Jordan today to discuss the latest developments in Gaza, reiterating my commitment to increasing the delivery of humanitarian assistance to Palestinian civilians in Gaza.  We agreed we cannot stop working together towards a durable, sustainable peace in the Middle East.",2799,"Dec 8, 2023 · 1:20 AM UTC"
@comrade_sweezy,U.S. officials: “This is a targeted operation and the IDF takes every feasible precaution to prevent civilian casualties”  Israeli soldier: *writes “to the people of Gaza with love” on bombs  to be dropped on refugee camps*,1822,"Dec 7, 2023 · 3:04 AM UTC"
@mhdksafa,This photo needs to be the front page of every news paper in the world.  People at UN distribution points - 2.2 million people are food insecure. People are dying from bombs and soon many will die from consequences of the siege imposed on Gaza. Don’t stop talking about Gaza.,54702,"Dec 7, 2023 · 11:41 AM UTC"
@yumna_patel,Women in Gaza don’t have sanitary pads or formula to feed their babies. Women doctors and journalists are being killed. Young women students don’t have universities anymore. Pregnant women are being bombed. But really happy for these girl bosses. 👸🏼,28760,"Dec 7, 2023 · 5:24 PM UTC"
@mhdksafa,Nowhere is safe in Gaza. Nowhere is safe in Gaza. Nowhere is safe in Gaza.  Keep pushing for a ceasefire. Don’t stop talking about Gaza.,29126,"Dec 7, 2023 · 6:46 AM UTC"
@JordanUhl,Weird how everyone in Gaza who's in a position to effectively communicate and demonstrate what Israel is doing keeps dying. Probably just a coincidence!,9134,"Dec 7, 2023 · 10:05 PM UTC"
@Bernadotte22,"A short while ago, the Israeli occupation forces kidnapped more than 100 unarmed Palestinians in front of their children and women from a school for displaced people in the northern Gaza Strip, took them to an open area, executed them in cold blood, one after the other, and threw them into a pit. 🇵🇸 Among them are children as young as 15 years old. #IsraelisISIS",862,"Dec 7, 2023 · 11:51 PM UTC"
@dancohen3000,"I've just learned that Dr. Refaat Alareer, along with several family members, has been murdered in an Israeli airstrike.  I'm in tears and sick to my stomach as I write this.  I had the great honor to spend time with Refaat during my time in Gaza, including harvesting olives with him in 2015 in his home neighborhood of Shujaiya.  I visited him in the Islamic University of Gaza, where he used English-language literature and poetry to teach his students the difference between Judaism and Zionism, equipping them with the mental tools to resist Zionist propaganda that seeks to conflate the two.  Refaat was a guiding light as a I documented life and death for my documentary, Killing Gaza. He helped me gain access to elders in his neighborhood who provided testimony of shocking Israeli war crimes.  In one of our last exchanges, I told him that, in my time in Gaza, I felt as though I were documenting the Warsaw Ghetto before its liquidation by Nazis. I promised him that his writings would be featured in a future Victims of Zionism museum. I didn't imagine that would be my last message to him.  Refaat Alareer embraced everything good and pure about Gaza and Palestine. He will not be forgotten and his legacy will live on for many generations to come.  Rest in peace, Refaat.",29006,"Dec 7, 2023 · 10:09 PM UTC"
@JoshuaPHilll,Hanukkah is also about the oppressed miraculously resisting empire. This Hanukkah we pray for a ceasefire and an end to Israel’s genocide in Gaza.,489,"Dec 8, 2023 · 3:17 AM UTC"
@mikopeled,"Demanding sanctions against Israel, no-fly zone over Gaza, dismantling apartheid & a free democratic Palestine w equal rights from the River to the Sea Now! At MIT last night.",3749,"Dec 7, 2023 · 5:48 AM UTC"
@WarMonitors,"⚡️Goodbye my friend, Dr Refaat Al-Ar’eer (@itranslate123), one of Gaza’s best academics.   Refaat was murdered in an Israeli airstrike on his home. Every day I feared that I would have to type this tweet out, but here we are. Thank you for the few conversations that we had, may you rest in peace.",12026,"Dec 7, 2023 · 7:49 PM UTC"
@MyLordBebo,"🇮🇱🇵🇸🚨‼️ BOMBSHELL: The true location is Beit Lahiya, not Khan Yunis. That's just in the North!  -> So, they did not ""break the militants in the middle of Gaza""! This makes the whole story fall apart.  THX @EGYCAESER",2691,"Dec 7, 2023 · 9:14 PM UTC"
@abierkhatib,Israel's wet dream of starving Palestinians is now becoming reality.   #Gaza,3704,"Dec 7, 2023 · 11:22 AM UTC"
@DrLoupis,"Beit Lahia.  Civilians taken hostage & brought to military bases in Israel; the men were abducted from a UN school in Beit Lahia. Women & children were kicked to south Gaza, while males over 16 were kidnapped.  A common practice which they did numerous times in Gaza city.  @ytirawi",5627,"Dec 7, 2023 · 4:15 PM UTC"
@dancohen3000,"As Israel exterminated hundreds of Palestinians in the Gaza ghetto, the odious propagandist @bariweiss singled out Refaat Alareer (@itranslate123) for making fun of fully debunked Zionist lies, putting a target on his back.  Now that Israel has murdered him, she must be constantly reminded that his blood is on her hands.",5578,"Dec 7, 2023 · 10:25 PM UTC"
@AAbubakar43601,A palestininian girl in Gaza that recognized her mom 🇯🇴💔 😭,320,"Dec 7, 2023 · 7:38 PM UTC"
@itranslate123,"When Israel ran out of lies, it regurgitated the rape and sexual violence lie. The first to get the Zionist marching orders is this UN racist Antonio Guterres.  ALL the rape/sexual violence allegations are lies. Israel uses them as smokescreens to justify the Gaza genocide.",1318,"Dec 4, 2023 · 3:34 AM UTC"
@visegrad24,It doesn’t look like the Hamas boys are winning against the IDF in Gaza…,4295,"Dec 7, 2023 · 10:41 PM UTC"
@itranslate123,"If I must die, let it be a tale.   #FreePalestine #Gaza",90760,"Nov 1, 2023 · 1:01 PM UTC"
@marwasf,"In case you wonder how Israel was built in 1948, watch what they’re doing in Gaza in real time. They mass murdered Palestinians, forcibly expelled them from their neighborhoods, and took over whatever is left of their homes, money, and property.",1959,"Dec 6, 2023 · 5:58 PM UTC"
@GazaMartyrs,"The situation is catastrophic here in the middle of Gaza Strip. Today, food ran out, there are no blankets for warmth in the winter cold, prices are insane, UNRWA is playing the role of a bystander, we are close to famine, and everyone watches us silently as we die.",2897,"Dec 7, 2023 · 5:58 PM UTC"
@ShaykhSulaiman,GAZA 2023 = GERMANY 1943,2539,"Dec 8, 2023 · 12:06 AM UTC"
@Nanifa7,me watching Allah dish out Sodom and Gomorrah on Gaza using the unsuspecting IDF as his right hand:,0,"Dec 8, 2023 · 3:47 AM UTC"
@jvplive,The footage of Israeli soldiers torturing and humiliating detained Palestinian men in Gaza is horrific.   We’ve seen terrible images like this from genocides throughout history. We know what this leads to. Never again means never again for anyone.,27571,"Dec 7, 2023 · 6:47 PM UTC"
@itranslate123,"If I get killed by Israeli bombs or my family is harmed, I blame Bari Weiss @bariweiss and her likes.   Many maniacal Israeli soldiers already bombing Gaza take these lies and smears seriously and they act upon them.",16645,"Oct 31, 2023 · 12:34 AM UTC"
@MalakaShwaikh,My sister just messaged me to say that Israel is carrying out summary executions of unarmed men in northern Gaza inside their homes. They force their families and children to watch the executions. They then let the women and children flee the scene. Ceasefire. Now.,22039,"Dec 7, 2023 · 8:29 AM UTC"
@ManaOfir,I understood that kamala Harris woke up and finally decided to condemn what Hamas terrorists did to Israeli women on October 7  I remember that she and her daughter raised money for Hamas/Gaza  What are the chances that she will transfer the donation to women in Israel instead?,0,"Dec 8, 2023 · 3:47 AM UTC"
@peterdaou,"One day, the killing will end. I know. I lived through it in Lebanon.   When Israel's bloodlust is finally satiated, Israel will be forever stained, a pariah among nations.   And everyone who enabled them will live in everlasting shame.  #Gaza",791,"Dec 8, 2023 · 1:46 AM UTC"
@MuhammadSmiry,"This street was crowded with people  Now there only a few people, Around 10 drones are above us!  Khan Younis, Gaza, Palestine",9618,"Dec 7, 2023 · 1:13 PM UTC"
@stairwayto3dom,"🚨🇮🇱 SORRY TO SHARE, BUT THE WORLD NEEDS TO SEE THIS TERRORISM THAT’S GOING ON RIGHT NOW IN GAZA!",6706,"Dec 7, 2023 · 12:02 PM UTC"
@Megatron_ron,"🇺🇸🇵🇸Name me one nation that is doing more to alleviate the pain and suffering of people in Gaza than the United States. You won't succeed, it just won't work! — John Kirby  The US supplies 100% of the bombs to Israel that massacre the children.  At least be honest, this makes you look like a clown",5281,"Dec 7, 2023 · 8:47 PM UTC"
@ME_1948_Updates,"Again, the people on the right were unarmed noncombatants sheltering with their families in northern Gaza. The IOF terrorists ambushed them and stripped them in the cold. Nazi",27267,"Dec 7, 2023 · 6:15 PM UTC"
