,username,text,likes,date
43,@comrade_sweezy,U.S. officials: “This is a targeted operation and the IDF takes every feasible precaution to prevent civilian casualties”  Israeli soldier: *writes “to the people of Gaza with love” on bombs  to be dropped on refugee camps*,1822,"Dec 7, 2023 · 3:04 AM UTC"
44,@mhdksafa,This photo needs to be the front page of every news paper in the world.  People at UN distribution points - 2.2 million people are food insecure. People are dying from bombs and soon many will die from consequences of the siege imposed on Gaza. Don’t stop talking about Gaza.,54702,"Dec 7, 2023 · 11:41 AM UTC"
45,@yumna_patel,Women in Gaza don’t have sanitary pads or formula to feed their babies. Women doctors and journalists are being killed. Young women students don’t have universities anymore. Pregnant women are being bombed. But really happy for these girl bosses. 👸🏼,28760,"Dec 7, 2023 · 5:24 PM UTC"
46,@mhdksafa,Nowhere is safe in Gaza. Nowhere is safe in Gaza. Nowhere is safe in Gaza.  Keep pushing for a ceasefire. Don’t stop talking about Gaza.,29126,"Dec 7, 2023 · 6:46 AM UTC"
47,@JordanUhl,Weird how everyone in Gaza who's in a position to effectively communicate and demonstrate what Israel is doing keeps dying. Probably just a coincidence!,9134,"Dec 7, 2023 · 10:05 PM UTC"
48,@Bernadotte22,"A short while ago, the Israeli occupation forces kidnapped more than 100 unarmed Palestinians in front of their children and women from a school for displaced people in the northern Gaza Strip, took them to an open area, executed them in cold blood, one after the other, and threw them into a pit. 🇵🇸 Among them are children as young as 15 years old. #IsraelisISIS",862,"Dec 7, 2023 · 11:51 PM UTC"
49,@dancohen3000,"I've just learned that Dr. Refaat Alareer, along with several family members, has been murdered in an Israeli airstrike.  I'm in tears and sick to my stomach as I write this.  I had the great honor to spend time with Refaat during my time in Gaza, including harvesting olives with him in 2015 in his home neighborhood of Shujaiya.  I visited him in the Islamic University of Gaza, where he used English-language literature and poetry to teach his students the difference between Judaism and Zionism, equipping them with the mental tools to resist Zionist propaganda that seeks to conflate the two.  Refaat was a guiding light as a I documented life and death for my documentary, Killing Gaza. He helped me gain access to elders in his neighborhood who provided testimony of shocking Israeli war crimes.  In one of our last exchanges, I told him that, in my time in Gaza, I felt as though I were documenting the Warsaw Ghetto before its liquidation by Nazis. I promised him that his writings would be featured in a future Victims of Zionism museum. I didn't imagine that would be my last message to him.  Refaat Alareer embraced everything good and pure about Gaza and Palestine. He will not be forgotten and his legacy will live on for many generations to come.  Rest in peace, Refaat.",29006,"Dec 7, 2023 · 10:09 PM UTC"
50,@JoshuaPHilll,Hanukkah is also about the oppressed miraculously resisting empire. This Hanukkah we pray for a ceasefire and an end to Israel’s genocide in Gaza.,489,"Dec 8, 2023 · 3:17 AM UTC"
51,@mikopeled,"Demanding sanctions against Israel, no-fly zone over Gaza, dismantling apartheid & a free democratic Palestine w equal rights from the River to the Sea Now! At MIT last night.",3749,"Dec 7, 2023 · 5:48 AM UTC"
52,@WarMonitors,"⚡️Goodbye my friend, Dr Refaat Al-Ar’eer (@itranslate123), one of Gaza’s best academics.   Refaat was murdered in an Israeli airstrike on his home. Every day I feared that I would have to type this tweet out, but here we are. Thank you for the few conversations that we had, may you rest in peace.",12026,"Dec 7, 2023 · 7:49 PM UTC"
53,@MyLordBebo,"🇮🇱🇵🇸🚨‼️ BOMBSHELL: The true location is Beit Lahiya, not Khan Yunis. That's just in the North!  -> So, they did not ""break the militants in the middle of Gaza""! This makes the whole story fall apart.  THX @EGYCAESER",2691,"Dec 7, 2023 · 9:14 PM UTC"
54,@abierkhatib,Israel's wet dream of starving Palestinians is now becoming reality.   #Gaza,3704,"Dec 7, 2023 · 11:22 AM UTC"
55,@DrLoupis,"Beit Lahia.  Civilians taken hostage & brought to military bases in Israel; the men were abducted from a UN school in Beit Lahia. Women & children were kicked to south Gaza, while males over 16 were kidnapped.  A common practice which they did numerous times in Gaza city.  @ytirawi",5627,"Dec 7, 2023 · 4:15 PM UTC"
